IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG01362	1734700	1734700	0.049845	-0.062669	-0.0497668	0.0211507	0.00269251	-0.00232527	-0.00942009	-0.0187085	-0.000263151	-0.00743467	AMR
HG01363	1726648	1726648	0.0361855	-0.0379172	-0.0573731	0.04326	-0.00107839	-0.00966387	-0.00648282	-0.01228	-0.000987302	-0.00868132	AMR
HG01366	1733130	1733130	0.0575116	-0.0584287	-0.0560048	0.0269321	-0.000806535	-0.00748459	-0.00797477	-0.0152014	-0.00093843	-0.00664518	AMR
HG01369	1729714	1729714	0.0571025	-0.00964755	-0.0780753	0.0961259	0.00125495	-0.00924214	-0.00926379	-0.00968216	0.00208386	-0.01371	AMR
HG01377	1734748	1734748	0.0617236	-0.0533308	-0.0527888	0.0412463	-0.00169335	-0.00962702	-0.00892723	-0.0117241	-0.0011666	-0.00501733	AMR
HG01393	1712962	1712962	0.0160114	-0.0686777	-0.0383323	0.00385245	-0.00156446	-0.0117723	-0.0130385	-0.0199861	-0.000392062	-0.0155202	AMR
HG01405	1735036	1735036	0.055277	-0.0908073	-0.0334402	-0.00689625	0.00136297	-0.0131964	-0.0145465	-0.0202057	-0.00201191	-0.0140859	AMR
HG01435	1734538	1734538	0.088647	-0.0177824	-0.077586	0.0912759	-1.57489e-05	-0.00628454	-0.00335856	-0.000173421	-0.00234163	-0.00452193	AMR
HG01444	1728120	1728120	0.0632902	-0.0554775	-0.0571304	0.0350823	-0.00146119	-0.00978057	-0.00941816	-0.0155637	-0.000408957	-0.00831763	AMR
HG01452	1704078	1704078	0.030625	-0.0323585	-0.0584215	0.0508934	-0.000224786	-0.011162	-0.00782253	-0.00862706	-0.00446052	-0.0105033	AMR
HG01453	1725070	1725070	0.0897791	-0.0575194	-0.065811	0.047096	-0.00298807	-0.0052683	-0.00788691	-0.00942389	0.00297159	-0.014641	AMR
HG01477	1729604	1729604	0.0482677	-0.0666419	-0.0476054	0.0192073	0.000640894	-0.00687271	-0.0118837	-0.0192657	-0.00209187	0.00118669	AMR
HG01479	1734786	1734786	0.0800956	-0.104264	-0.041452	-0.00728215	0.00043469	-0.0152994	-0.018003	-0.0292208	-0.00423084	-0.0059722	AMR
HG01483	1732378	1732378	0.0862209	-0.116228	-0.0310211	-0.0237195	-0.00016154	-0.00528308	-0.0113649	-0.0261079	0.00100117	-0.00980707	AMR
HG01494	1735854	1735854	0.0646631	-0.0276144	-0.067956	0.0695617	0.000838163	-0.00383419	-0.00294641	-0.00524058	-0.00175033	-0.00809535	AMR
HG01528	1730574	1730574	0.0827725	-0.127777	-0.029036	-0.0426487	0.00144153	-0.00659917	-0.0146397	-0.027074	-0.00140195	-0.00128655	EUR
HG01571	1733712	1733712	0.108496	0.00454268	-0.0997511	0.132429	-0.000765195	-0.000745238	-5.63486e-05	0.00054837	0.000519413	0.00762584	AMR
HG01598	1733968	1733968	0.120642	0.16742	-0.00723723	-0.0349519	-4.29516e-05	-0.0377717	0.00862202	0.00821201	5.08371e-05	-0.00397465	EAS
HG01600	1733046	1733046	0.120559	0.170734	-0.00816849	-0.036546	0.000962776	-0.0348911	0.00887799	0.00812421	0.00274363	0.00485025	EAS
HG01675	1733418	1733418	0.0869981	-0.130774	-0.0269695	-0.0417489	0.000264332	-0.00273719	-0.0134652	-0.0270027	0.00159826	-0.00371178	EUR
HG01699	1735178	1735178	0.0825701	-0.128828	-0.0254556	-0.0421612	-0.000948434	-0.0106176	-0.012773	-0.027587	-0.00274324	-0.000162684	EUR
HG01781	1733796	1733796	0.0850203	-0.131918	-0.0281805	-0.0403245	-0.000102119	-0.00754833	-0.0134046	-0.0216365	-0.000373582	0.00383436	EUR
HG01795	1735794	1735794	0.118465	0.170231	-0.00620838	-0.0372866	-0.000674849	-0.0492232	0.00881185	0.00901036	-0.00321186	-0.00171939	EAS
HG01797	1735816	1735816	0.119726	0.170627	-0.00640148	-0.0370448	-0.000575822	-0.0564407	0.0136647	0.0128018	-0.000233718	-0.00802607	EAS
HG01798	1735686	1735686	0.122813	0.168526	-0.014261	-0.0300041	8.78028e-05	-0.0053469	0.000344845	-0.00176405	0.000859522	0.00126306	EAS
HG01800	1734108	1734108	0.120292	0.171646	-0.0102215	-0.0392694	-0.00269283	-0.0433863	0.0114091	0.00857408	0.000345958	0.00140776	EAS
HG01801	1734484	1734484	0.119279	0.169808	-0.00661883	-0.036813	-0.000254529	-0.0509367	0.0117186	0.0155124	-0.00164566	-0.000561866	EAS
HG01802	1731122	1731122	0.118701	0.171145	-0.00774791	-0.0346869	-0.000184744	-0.0416461	0.00865177	0.00860857	3.49545e-05	-0.00120723	EAS
HG01804	1732136	1732136	0.120505	0.16917	-0.00710713	-0.0363647	-0.000182891	-0.0497769	0.0115688	0.0139616	-0.00262207	0.00342348	EAS
HG01805	1734276	1734276	0.12088	0.170647	-0.00872462	-0.0394269	0.000501559	-0.048342	0.00769384	0.0126293	0.00141031	-0.00297102	EAS
HG01806	1732020	1732020	0.119838	0.171094	-0.0095917	-0.0391648	-0.00176795	-0.0568102	0.0136452	0.0115064	0.000820764	0.00266779	EAS
HG01808	1732898	1732898	0.122617	0.170035	-0.006634	-0.0397554	0.00119559	-0.045798	0.00869771	0.0119914	-0.00160415	-0.00673801	EAS
HG01811	1728558	1728558	0.120381	0.171166	-0.00953944	-0.0410082	-0.00116741	-0.0580373	0.0110279	0.0103597	-0.00143075	0.00377967	EAS
HG01812	1730272	1730272	0.122057	0.171793	-0.0106883	-0.0354241	-0.0013056	-0.051539	0.0133253	0.0118352	0.000704821	-0.00171732	EAS
HG01815	1734442	1734442	0.118689	0.169531	-0.00713692	-0.0354775	0.000843777	-0.0526784	0.0114218	0.0160672	0.00100226	-0.00415098	EAS
HG01845	1729100	1729100	0.12037	0.164908	-0.00808424	-0.0346624	-0.00128298	-0.0360498	0.00911739	0.00661211	-0.00134947	0.0040021	EAS
HG01851	1734530	1734530	0.120136	0.169851	-0.00801261	-0.0348185	-0.000359726	-0.0427624	0.00913668	0.00798889	-0.00231615	0.00239579	EAS
HG01852	1723096	1723096	0.119856	0.166139	-0.00492236	-0.0344714	-0.00272768	-0.035206	0.00968796	0.00779163	0.000106391	0.00202957	EAS
HG01853	1717380	1717380	0.116715	0.16649	-0.00547982	-0.0357387	0.000892655	-0.038986	0.00975899	0.00691576	-0.00108741	-0.000293606	EAS
HG01857	1733254	1733254	0.120311	0.166689	-0.00708667	-0.0342197	0.000668537	-0.0327635	0.0113446	0.0121426	-0.00355662	0.00338639	EAS
HG01859	1735082	1735082	0.121158	0.170219	-0.010827	-0.0379795	-0.00104024	-0.0407836	0.00891723	0.0114073	0.000904875	0.00128352	EAS
HG01860	1734980	1734980	0.119455	0.169596	-0.00720344	-0.0341357	6.49988e-05	-0.0448187	0.00971906	0.0107157	0.00116024	-0.000625561	EAS
HG01865	1734704	1734704	0.121158	0.167234	-0.00679528	-0.0375109	0.00114793	-0.0363268	0.00912583	0.0125186	-0.000600238	-0.000692514	EAS
HG01866	1735412	1735412	0.119952	0.163038	-0.00311819	-0.0328128	-0.000718092	-0.0396031	0.00814938	0.00805343	0.000623851	0.00107209	EAS
HG01869	1735514	1735514	0.120385	0.169929	-0.00757592	-0.0366873	-0.00135758	-0.0389323	0.0109351	0.0117599	0.000753098	-0.00316362	EAS
HG01871	1734990	1734990	0.119243	0.167271	-0.00275724	-0.034327	-0.000927629	-0.0390661	0.00714936	0.00946148	0.00152561	-0.00331896	EAS
HG01883	1734546	1734546	-0.231342	-0.00131783	-0.00382357	-0.00498512	-0.00887716	0.00253761	0.024022	-0.00856992	0.00982675	0.0114374	AFR
HG01893	1734640	1734640	0.0615851	0.00307848	-0.0851081	0.113978	0.00460939	-0.00765237	-0.000633323	-0.00275056	0.00244112	0.00985793	AMR
HG01894	1734884	1734884	-0.254436	0.00717654	-0.00227758	-0.00782795	-0.00647291	0.00351122	0.015084	-0.00884381	0.0191349	0.0119176	AFR
HG01921	1726532	1726532	0.11291	0.0269649	-0.109404	0.158414	-0.00125422	-0.00241463	0.00528325	0.00447221	-0.00378504	0.0039074	AMR
HG01924	1733014	1733014	0.0697235	0.0438656	-0.0955505	0.142906	0.000268052	-0.0032741	0.00743418	0.00806753	-0.00215779	0.00582574	AMR
HG01926	1735632	1735632	0.12525	0.0742409	-0.139025	0.221798	0.00145723	-0.00179424	0.010294	0.0192743	0.00172781	0.0113677	AMR
HG01939	1734038	1734038	0.110368	0.0250755	-0.114078	0.165199	-0.000340997	-0.00470845	0.0104433	0.0141625	0.0021565	0.00185016	AMR
HG01950	1731452	1731452	0.09695	0.0518904	-0.119548	0.18455	-0.00121458	-0.00290418	0.00631827	0.00847596	0.00266839	0.00179419	AMR
HG01973	1703704	1703704	0.0993328	0.0408325	-0.117136	0.174739	0.000182792	-0.0010467	0.00953974	0.013844	-0.00143319	0.01217	AMR
HG01991	1733926	1733926	0.106406	0.0258476	-0.108227	0.155082	-0.000999368	-0.00634045	0.00694319	0.00681062	0.00133065	0.00730461	AMR
HG01997	1732806	1732806	0.116513	0.050101	-0.121865	0.194062	0.00150398	0.000500614	0.00905301	0.0124351	-0.000363995	0.00598705	AMR
HG02008	1735836	1735836	0.113977	0.0432107	-0.117547	0.177478	-0.000594619	-0.00300539	0.00800133	0.011965	-0.00214271	0.00230791	AMR
HG02020	1730664	1730664	0.118405	0.165784	-0.00659032	-0.0354035	-0.000734678	-0.0455339	0.0102756	0.0116396	-0.000563151	0.00488274	EAS
HG02023	1734186	1734186	0.118376	0.16844	-0.00707202	-0.0330139	0.000679076	-0.0444444	0.00912596	0.0123118	0.00326913	-0.0011048	EAS
HG02026	1734132	1734132	0.120854	0.170996	-0.00968632	-0.0362563	0.000430446	-0.0375051	0.0107534	0.0134543	0.00147101	-0.000122744	EAS
HG02028	1730918	1730918	0.120139	0.164907	-0.0060528	-0.038585	-0.000248774	-0.0419153	0.0100676	0.010797	-0.0035589	0.00274517	EAS
HG02029	1731736	1731736	0.121139	0.173549	-0.0109051	-0.036702	0.0012603	-0.021632	0.00432464	0.0060038	0.000962763	0.00206275	EAS
HG02031	1733110	1733110	0.120155	0.170896	-0.0102196	-0.0377189	0.00042275	-0.033965	0.00472389	0.00651201	0.000552955	0.00331807	EAS
HG02047	1730962	1730962	0.120962	0.167574	-0.00712546	-0.0370905	0.00051911	-0.0410116	0.00855955	0.00903396	-7.29463e-06	-0.00154752	EAS
HG02050	1729436	1729436	0.118269	0.166611	-0.005968	-0.0351537	0.000631389	-0.0355242	0.00971175	0.0122353	-0.0036718	-0.000790019	EAS
HG02064	1717896	1717896	0.117196	0.167542	-0.0107911	-0.0342433	0.000533764	-0.0405436	0.00616002	0.00737729	-0.00111377	0.00112873	EAS
HG02070	1731486	1731486	0.120008	0.165197	-0.00393919	-0.0360044	0.00303455	-0.0359651	0.0079693	0.00858634	-0.0040641	-0.00101102	EAS
HG02075	1730526	1730526	0.119306	0.165587	-0.00425129	-0.0362947	-0.000208799	-0.0350046	0.00876149	0.00831235	-0.00342603	0.00074476	EAS
HG02078	1725236	1725236	0.12015	0.169518	-0.00488887	-0.033672	-0.000255091	-0.0438591	0.00891824	0.00788252	-0.00146508	0.00183227	EAS
HG02079	1733214	1733214	0.119919	0.168408	-0.00941336	-0.0390511	0.000355571	-0.0403711	0.00981045	0.00952829	-0.0028762	-0.00501299	EAS
