IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	PC1_AVG	PC2_AVG	PC3_AVG	PC4_AVG	PC5_AVG	PC6_AVG	PC7_AVG	PC8_AVG	PC9_AVG	PC10_AVG	super_pop
HG01865	1734704	1734704	0.121158	0.167234	-0.00679528	-0.0375109	0.00114793	-0.0363268	0.00912583	0.0125186	-0.000600238	-0.000692514	EAS
HG01866	1735412	1735412	0.119952	0.163038	-0.00311819	-0.0328128	-0.000718092	-0.0396031	0.00814938	0.00805343	0.000623851	0.00107209	EAS
HG01869	1735514	1735514	0.120385	0.169929	-0.00757592	-0.0366873	-0.00135758	-0.0389323	0.0109351	0.0117599	0.000753098	-0.00316362	EAS
HG01871	1734990	1734990	0.119243	0.167271	-0.00275724	-0.034327	-0.000927629	-0.0390661	0.00714936	0.00946148	0.00152561	-0.00331896	EAS
HG02020	1730664	1730664	0.118405	0.165784	-0.00659032	-0.0354035	-0.000734678	-0.0455339	0.0102756	0.0116396	-0.000563151	0.00488274	EAS
HG02023	1734186	1734186	0.118376	0.16844	-0.00707202	-0.0330139	0.000679076	-0.0444444	0.00912596	0.0123118	0.00326913	-0.0011048	EAS
HG02025	1732236	1732236	0.121778	0.169397	-0.00852091	-0.0354694	-9.92438e-05	-0.0397583	0.0086318	0.00769026	-0.000573478	0.000917309	EAS
HG02026	1734132	1734132	0.120854	0.170996	-0.00968632	-0.0362563	0.000430446	-0.0375051	0.0107534	0.0134543	0.00147101	-0.000122744	EAS
HG02028	1730918	1730918	0.120139	0.164907	-0.0060528	-0.038585	-0.000248774	-0.0419153	0.0100676	0.010797	-0.0035589	0.00274517	EAS
HG02029	1731736	1731736	0.121139	0.173549	-0.0109051	-0.036702	0.0012603	-0.021632	0.00432464	0.0060038	0.000962763	0.00206275	EAS
HG02031	1733110	1733110	0.120155	0.170896	-0.0102196	-0.0377189	0.00042275	-0.033965	0.00472389	0.00651201	0.000552955	0.00331807	EAS
HG02047	1730962	1730962	0.120962	0.167574	-0.00712546	-0.0370905	0.00051911	-0.0410116	0.00855955	0.00903396	-7.29463e-06	-0.00154752	EAS
HG02050	1729436	1729436	0.118269	0.166611	-0.005968	-0.0351537	0.000631389	-0.0355242	0.00971175	0.0122353	-0.0036718	-0.000790019	EAS
HG02057	1727946	1727946	0.117481	0.16537	-0.00580307	-0.0318569	0.00102408	-0.0389018	0.00875653	0.00640907	-0.000282065	0.00102216	EAS
HG02064	1717896	1717896	0.117196	0.167542	-0.0107911	-0.0342433	0.000533764	-0.0405436	0.00616002	0.00737729	-0.00111377	0.00112873	EAS
HG02070	1731486	1731486	0.120008	0.165197	-0.00393919	-0.0360044	0.00303455	-0.0359651	0.0079693	0.00858634	-0.0040641	-0.00101102	EAS
HG02073	1729174	1729174	0.121502	0.168362	-0.0112799	-0.0381706	-0.00118473	-0.0411009	0.0100425	0.00793726	0.00270384	0.000998415	EAS
HG02075	1730526	1730526	0.119306	0.165587	-0.00425129	-0.0362947	-0.000208799	-0.0350046	0.00876149	0.00831235	-0.00342603	0.00074476	EAS
HG02078	1725236	1725236	0.12015	0.169518	-0.00488887	-0.033672	-0.000255091	-0.0438591	0.00891824	0.00788252	-0.00146508	0.00183227	EAS
HG02079	1733214	1733214	0.119919	0.168408	-0.00941336	-0.0390511	0.000355571	-0.0403711	0.00981045	0.00952829	-0.0028762	-0.00501299	EAS
HG02081	1730364	1730364	0.123333	0.167933	-0.00729138	-0.0365779	0.000847388	-0.0409958	0.0095825	0.00991263	-0.0016957	-0.0038907	EAS
HG02082	1735120	1735120	0.120443	0.168377	-0.010304	-0.0370372	0.00169448	-0.0201556	0.00397743	0.00290022	0.000315523	0.00326899	EAS
HG02084	1735136	1735136	0.119274	0.165982	-0.00560014	-0.0320736	0.000150664	-0.041285	0.00489153	0.00857313	-0.00195551	-0.00171391	EAS
HG02085	1731542	1731542	0.120697	0.167515	-0.00336217	-0.0365173	0.00142671	-0.0398709	0.00946232	0.00479471	0.00238055	-0.000267411	EAS
HG02086	1735300	1735300	0.122283	0.166043	-0.00517346	-0.0330694	-0.00129535	-0.039378	0.00841545	0.00862379	-0.00159173	-0.00551887	EAS
HG02087	1719974	1719974	0.117272	0.168232	-0.00576355	-0.0362627	-0.000189572	-0.0396102	0.0100359	0.0109077	-0.00240582	-0.00219511	EAS
HG02113	1711596	1711596	0.117421	0.164164	-0.00655862	-0.0347315	-0.000726982	-0.0401887	0.00938512	0.00768315	-0.00133141	-0.00217443	EAS
HG02116	1726064	1726064	0.119428	0.164057	-0.00538851	-0.0338815	0.00181458	-0.0336788	0.00816743	0.00787733	0.000208772	0.000991896	EAS
HG02122	1733578	1733578	0.117749	0.170054	-0.00732997	-0.0351494	-0.000369229	-0.017676	0.0043895	0.0046952	0.00114258	0.000693794	EAS
HG02137	1723438	1723438	0.121841	0.167764	-0.00433451	-0.0377116	-0.000747046	-0.0372266	0.00968254	0.00710728	-0.00188923	0.00142462	EAS
HG02138	1729218	1729218	0.117881	0.16407	-0.00564346	-0.0344073	-0.00197501	-0.0399993	0.00878441	0.0127751	-0.00261637	0.00395204	EAS
HG02140	1722162	1722162	0.120258	0.165879	-0.00700307	-0.0367569	-0.00138272	-0.0349355	0.0059433	0.00553506	0.00268355	-0.000458747	EAS
HG02141	1734990	1734990	0.120573	0.167447	-0.0044691	-0.0376669	0.001385	-0.0360322	0.00679667	0.00927308	0.00105992	-0.00106688	EAS
HG02151	1734668	1734668	0.118237	0.167232	-0.00504122	-0.0384434	0.00125516	-0.0544828	0.0107043	0.0159533	0.000292436	-0.00333127	EAS
HG02152	1735218	1735218	0.120178	0.16977	-0.00756292	-0.0351459	0.000713467	-0.0555864	0.0139408	0.0137235	0.001061	-0.00231703	EAS
HG02153	1735064	1735064	0.119501	0.165529	-0.00656683	-0.0344509	0.00224719	-0.0486191	0.00980156	0.0138749	0.000414336	-0.00671865	EAS
HG02154	1732872	1732872	0.123356	0.169939	-0.00805937	-0.0373973	-0.000930035	-0.0536141	0.0114368	0.0101798	3.99202e-05	-0.000870969	EAS
HG02166	1734528	1734528	0.120713	0.171189	-0.00945146	-0.0373019	-0.000441498	-0.0518426	0.0138282	0.00947087	-0.00334101	0.00467994	EAS
HG02168	1734390	1734390	0.121068	0.17294	-0.00840516	-0.0390022	-0.00304621	-0.0485316	0.0120669	0.0135833	-0.00163969	0.00232999	EAS
HG02169	1719266	1719266	0.119863	0.17228	-0.00742564	-0.0379647	-0.000347438	-0.0560171	0.0124868	0.0157006	-0.00368001	-0.0075571	EAS
HG02170	1733538	1733538	0.119906	0.169975	-0.0057032	-0.0373488	-0.000927142	-0.0477389	0.0136046	0.0158927	0.000171184	-0.00169763	EAS
HG02173	1730360	1730360	0.121062	0.171804	-0.00710647	-0.0404742	-0.0015547	-0.0564391	0.0102459	0.012642	-0.0037855	-0.00142576	EAS
HG02178	1733594	1733594	0.118856	0.171091	-0.00314584	-0.0407467	0.00100609	-0.0537551	0.0113745	0.0139611	-0.000160498	0.000979397	EAS
HG02179	1729802	1729802	0.118648	0.169045	-0.00537576	-0.0370335	0.000186733	-0.0492242	0.0108818	0.0105465	-0.00132563	0.000889462	EAS
HG02181	1735190	1735190	0.118804	0.171559	-0.00575991	-0.0358376	0.00107747	-0.0563063	0.0105067	0.0150432	-0.000885676	-0.00474929	EAS
HG02182	1734148	1734148	0.121854	0.171545	-0.00634041	-0.0392553	-0.000338401	-0.0538703	0.0125597	0.0129378	0.000239433	-0.00669439	EAS
HG02184	1734692	1734692	0.121457	0.171072	-0.00994339	-0.0387439	-0.000857247	-0.0514246	0.00912596	0.0127284	0.00275093	-0.00324097	EAS
HG02185	1730760	1730760	0.119752	0.171648	-0.0103602	-0.0410166	0.00039281	-0.0527761	0.00892409	0.0121128	-0.002102	-0.000660392	EAS
HG02186	1735070	1735070	0.120697	0.16846	-0.00805595	-0.0401064	-0.000495976	-0.0483625	0.0101725	0.0105221	-0.00165555	-0.00437628	EAS
HG02187	1735360	1735360	0.118696	0.170729	-0.00791828	-0.0349577	2.20469e-05	-0.05532	0.0121093	0.0159601	0.00154909	0.00188824	EAS
HG02188	1733032	1733032	0.120635	0.172706	-0.00925286	-0.0382012	0.00134709	-0.0559906	0.0141523	0.0181422	0.00238278	-0.00170287	EAS
HG02250	1734888	1734888	0.120662	0.167362	-0.00752263	-0.0363688	-0.000322668	-0.0458487	0.00831353	0.0100807	0.00120431	-0.00554183	EAS
HG02353	1733172	1733172	0.119432	0.171432	-0.00706595	-0.0377779	-0.000998457	-0.050364	0.0108725	0.0122403	-0.00164843	-0.00229495	EAS
HG02358	1732612	1732612	0.121573	0.17145	-0.00562291	-0.0372863	-0.00189199	-0.0532853	0.0151471	0.0164262	-0.000722239	-0.0032111	EAS
HG02367	1734200	1734200	0.121237	0.171258	-0.00792683	-0.038245	0.000826284	-0.0518052	0.0104259	0.0135268	-0.00284731	-0.00409456	EAS
HG02371	1734984	1734984	0.121074	0.171627	-0.00805131	-0.0411452	-0.000607241	-0.0562967	0.0107547	0.0138145	0.00114154	-0.000137177	EAS
HG02374	1734748	1734748	0.121143	0.168556	-0.00569691	-0.0404625	-0.000272669	-0.0493157	0.0109135	0.0136456	-0.00250995	0.000302764	EAS
HG02375	1735306	1735306	0.11952	0.171614	-0.00513926	-0.039683	-0.00127892	-0.0569743	0.013014	0.0159715	-3.17527e-05	0.000666175	EAS
HG02380	1735698	1735698	0.121098	0.174171	-0.00902357	-0.0386046	-0.000120309	-0.0527636	0.0138967	0.0122175	-0.00136435	-0.00329056	EAS
HG02383	1732648	1732648	0.120245	0.170599	-0.00370519	-0.0339945	0.001602	-0.0547154	0.0113365	0.0119744	-0.00231104	0.00463725	EAS
